Tugas_Akhir CO2 NETWORK OPTIMIZATION SOLUTION
Project Duration (yrs),30
Captal Recovery Factor (%),10.0
Annual Target Capture (MTCO2/yr),14.4
Annual Actual Capture (MTCO2/yr),13.959786112795351,"If different from Target, there is a limiting constraint - see logs for details"
Annual Storage Amount (MTCO2/yr),13.959786112794838
Total Cost ($M/yr),647.6552797560029
Capture Cost ($M/yr),516.4387869692654
Transport Cost ($M/yr),39.737826120090446
Storage Cost ($M/yr),91.47866666664696
""
CO2 CAPTURE SOURCES SOLUTION BREAKDOWN
CO2 Source ID,CO2 Source Name,Capture Amount (MTCO2/yr),Capture Cost ($M/yr)
source_2,Banjarsari power station,0.9,33.13666666666667
source_1,Bangko Tengah power station,4.32,159.056
source_5,Shenhua Guohua power station,1.0034945613140671,39.38660181650498
source_3,Bukit Asam Muara Enim power station,1.4400000000000002,53.018666666666675
source_4,Keban Agung power station,1.26,46.39133333333334
source_7,Sumsel-1 power station,2.5199999999999996,92.78266666666666
source_8,Sumsel-5 power station,1.26,46.39133333333334
source_6,Sumbagsel-1 power station,1.2562915514812838,46.27551848609382
""
CO2 STORAGE SINKS SOLUTION BREAKDOWN
CO2 Sink ID,CO2 Sink Name,Storage Amount (MTCO2/yr),Storage Cost ($M/yr)
sink_11,Abab,0.17202418705120834,5.8886666666666665
sink_8,Mandala,0.24766489952099993,5.498666666666667
sink_5,Bulu,0.32349712041719997,5.498666666666666
sink_7,Talang Jimar,0.29677632855935393,11.368666666646968
sink_4,Kemang,0.45966810753815984,5.8886666666666665
sink_3,Talang Akar,0.48311039261130406,15.562
sink_6,Ramba,0.29998803885898334,5.498666666666666
sink_2,Lagan,4.4635482402816,8.858666666666666
sink_9,Koneng,0.2454694577784,5.498666666666667
sink_10,Limau Timur QQ-51,0.23470600684429524,5.498666666666666
sink_1,Suban,6.733333333333333,16.418666666666667
""
CO2 TRANSPORT PIPELINES SOLUTION BREAKDOWN
Start Point,End Point,Length (km),Weight,CO2 Transported (MTCO2/yr),Transport Cost ($M/yr)
TS10,sink_10,0.46294044925896455,2.55,0.2347060068442952,0.11699784829354018
source_6,source_1,38.330404353791835,38.17999999999996,1.008626651960187,2.0936864694480835
TS29,sink_9,1.3887466409192677,1.3800000000000001,0.2454694577784,0.06348836684043994
TS27,TS13,13.40725628840064,13.350000000000003,0.2347060068442952,0.6125181469485341
sink_7,TS3,24.73596719174018,24.66000000000002,0.2999880388593058,1.1500671274864638
TS26,TS17,27.93658879252652,27.85000000000001,0.7687885544697719,1.44992306973133
TS15,TS11,18.896364647833042,18.840000000000003,0.5967643674186597,0.9433417757307885
TS26,TS27,0.6531708632722649,0.65,0.2347060068442952,0.029822980937569066
TS39,TS31,13.90246445622656,13.860000000000005,4.70901769806,1.3535383010762085
source_7,TS25,36.61338216001449,36.44999999999997,6.739608953900187,4.416126199790013
source_6,TS21,38.93478969372892,38.74999999999996,0.24766489952099993,1.783719400657519
TS37,TS39,15.096043701161822,15.030000000000006,2.54901769806,1.0921179593744337
sink_2,TS29,23.36139298211928,23.220000000000013,0.2454694577784,1.0682607811847942
TS11,TS9,8.526986396300249,8.5,0.5967643674186597,0.4256053659082644
sink_3,TS1,1.3821664958065807,1.3800000000000001,5.933001440871448,0.1543139846864358
TS25,sink_3,2.3036115792433844,2.3000000000000003,6.739608953900187,0.2786581689853784
source_4,TS30,0.653053143607373,3.6,1.26,0.20788606512000002
TS22,source_3,5.837308685436953,7.91,2.7796089539000652,0.5958675965463985
source_8,TS4,6.891976297569251,6.85,0.8003318924618235,0.35912417343616526
TS31,sink_2,7.3716128657663385,7.36,4.70901769806,0.7187620415527338
TS13,TS10,2.8808529562938956,2.87,0.2347060068442952,0.13167993121665109
TS23,source_7,34.84237553733848,34.689999999999976,4.219608953900187,3.1912887625573774
TS18,TS23,0.4607271067429343,0.46,4.219608953900187,0.04231746413307567
source_8,sink_4,7.917307930680876,10.830000000000002,0.4596681075381765,0.525089870300428
TS2,sink_6,1.1141104959305752,4.279999999999999,0.2999880388590404,0.19960613567079225
source_2,TS39,0.4628387391129797,2.55,2.16,0.17381018586000002
source_3,TS18,2.035246974586805,4.12,4.219608953900066,0.3790172874527588
source_1,TS37,2.8846386888097797,2.87,2.54901769806,0.20854148658713398
TS17,TS16,1.85236012272462,1.84,0.7687885544698663,0.09579384015460334
TS30,TS38,1.5787103086094831,1.57,1.259999999999943,0.09066142284399899
sink_3,sink_5,6.400491275678984,6.36,0.32349712041720025,0.29834119419336064
TS38,source_2,3.8084078825226175,5.88,1.26,0.33954723969600004
TS16,TS15,0.4607222028165931,0.46,0.5967643674186597,0.0230327609785649
TS16,sink_11,0.4607222404290495,2.55,0.17202418705120834,0.11514820833308513
TS4,sink_1,51.96996873805842,51.69999999999993,0.8003318924618648,2.710470038926991
TS3,TS2,12.601122776330843,14.800000000000008,0.29998803885919695,0.6902268242822063
source_1,TS22,8.25703073747033,8.23,2.779608953900187,0.6199734917290711
TS1,sink_1,93.97457416332101,93.59999999999974,5.933001440871468,10.46651374394955
source_5,TS26,1.3063458774507892,4.25,1.0034945613140671,0.23280594233183632
TS21,sink_8,2.3137257366143986,2.3000000000000003,0.24766489952099993,0.10587237732934965
TS9,sink_7,3.685761254801936,3.68,0.5967643674186597,0.1842620878285192
""
